"genotype","temperature","mumax","alpha","CO2opt"
"CCMP2929","26",1.8254171812433,45.6381054770936,1245.50036702018
"CCMP2929","26",1.77498401885586,73.3528262732747,1233.62551536593
"CCMP2929","26",1.69214162479536,86.9357426802982,1242.5743612979
"CCMP2929","26",1.56064645391407,62.9098042296441,1502.72811154355
"CCMP2929","26",1.60389673496746,60.8104079139117,1607.98059150523
"CCMP2929","26",1.60069434695629,61.7845150616764,1727.20882401173
"CCMP2929","26",1.5837729529339,50.8533595224,1760.52591541974
"CCMP2929","26",1.56787400359206,50.8749963807751,1198.05280412743
"CCMP2929","26",1.59144559065742,53.4506872155564,1233.56357425518
"CCMP2929","26",1.56692076686132,58.4114432092601,1177.76145664389
"CCMP2929","26",1.98011103844097,62.7018042786972,835.453675943423
"CCMP2929","26",2.26548052706822,40.7560468481808,596.31660222617
"CCMP2929","26",1.73584946680543,54.7905293703215,727.317705681102
"CCMP2929","26",1.71276119431925,52.3848804255803,726.858414036494
"CCMP2929","26",1.78444229490723,58.6891116555772,709.783087475278
"CCMP2929","26",1.78430774581519,53.9302744828996,660.568348423082
"CCMP2929","26",1.76115711296519,73.496028893493,733.713779365237
"CCMP2929","26",1.68306950679046,70.3730450413937,677.247266162397
"CCMP2929","26",1.71727442535373,76.2012644558937,753.725159111366
"CCMP2929","26",1.71333963393025,84.3782502732933,668.046428975326
"CCMP2929","26",1.74269811710635,89.3686296615271,697.333462853637
"CCMP2929","26",1.8185935757158,69.6045294754568,617.205323581409
"CCMP2929","26",1.79188730433717,49.3497453184302,807.776746859232
"CCMP2929","26",1.81558620532114,45.8099298443521,780.390656545344
"CCMP2929","26",1.97869783370825,38.2748886035038,722.525962578073
"CCMP2929","26",1.62748390424468,93.190707230438,789.938147407819
"CCMP2929","26",1.85299168916093,68.4321484230385,711.304189210853
"CCMP2929","26",1.82010716023805,58.3707127279035,714.018818903744
"CCMP2929","26",1.75059180261802,67.0765451068891,675.132319101487
"CCMP2929","26",1.84750590627688,68.2622604244216,761.018086663428
"CCMP2929","26",1.70212162352802,77.6551910957202,781.984007181288
"CCMP2929","26",1.74840101738762,94.5763003078428,603.259385902285
"CCMP2929","26",1.77402343900405,86.2203581188749,632.544789955555
"CCMP2929","26",1.70372643024798,86.2319296168032,717.935915350044
"CCMP2929","26",1.7518830503319,100.767734164082,730.546560434611
"CCMP2929","26",1.78356120422417,100.176414374884,718.478183645148
"CCMP2929","26",1.77690126363225,102.228358871842,714.34865316109
"CCMP2929","26",1.71061822277413,95.2827641904063,729.315174830693
"CCMP2929","26",1.80359391702055,76.2766376020364,715.087841262025
"CCMP2929","26",1.69440574577108,61.810475040321,713.375825913805
