"CO2","growth_rate","cond__","effect1__","fit","se__","lower","upper","temperature","genotype"
0,1.40085257714286,"1",0,0,0,0,0,"26","CCMP1587"
18.3270251616162,1.40085257714286,"1",18.3270251616162,0.120303384559601,0.0325057172132858,0.0602311067296375,0.184268239061179,"26","CCMP1587"
36.6540503232323,1.40085257714286,"1",36.6540503232323,0.235105111155871,0.0590539116342555,0.122215836631007,0.347705509275381,"26","CCMP1587"
54.9810754848485,1.40085257714286,"1",54.9810754848485,0.344193381024763,0.0803188494280058,0.184986158675299,0.492586154887737,"26","CCMP1587"
73.3081006464647,1.40085257714286,"1",73.3081006464647,0.448070685734036,0.097118109113002,0.247795979475493,0.621855393757841,"26","CCMP1587"
91.6351258080808,1.40085257714286,"1",91.6351258080808,0.546964714291728,0.109640454867634,0.312459502212549,0.738360975421508,"26","CCMP1587"
109.962150969697,1.40085257714286,"1",109.962150969697,0.640335308480855,0.119326398674419,0.376773918141882,0.843432765278501,"26","CCMP1587"
128.289176131313,1.40085257714286,"1",128.289176131313,0.728849215198124,0.12614346990187,0.440793731332764,0.937054492020161,"26","CCMP1587"
146.616201292929,1.40085257714286,"1",146.616201292929,0.811903523995603,0.13030633998179,0.505675155809601,1.02272743432263,"26","CCMP1587"
164.943226454545,1.40085257714286,"1",164.943226454545,0.890952349928134,0.131633490354285,0.571550558401858,1.10071548771423,"26","CCMP1587"
183.270251616162,1.40085257714286,"1",183.270251616162,0.965388538606021,0.131466704756504,0.63647411448006,1.17149537415824,"26","CCMP1587"
201.597276777778,1.40085257714286,"1",201.597276777778,1.03513331159808,0.129693031922278,0.698685101025535,1.236015887913,"26","CCMP1587"
219.924301939394,1.40085257714286,"1",219.924301939394,1.10050204692085,0.12739718019421,0.761126960255563,1.29531240103815,"26","CCMP1587"
238.25132710101,1.40085257714286,"1",238.25132710101,1.16184302102366,0.123238759968447,0.820760867889894,1.34967702154587,"26","CCMP1587"
256.578352262626,1.40085257714286,"1",256.578352262626,1.21921916382802,0.118976832455037,0.878898260394568,1.40147680493357,"26","CCMP1587"
274.905377424242,1.40085257714286,"1",274.905377424242,1.27308502952434,0.114043237320956,0.935446886634117,1.4485473301327,"26","CCMP1587"
293.232402585859,1.40085257714286,"1",293.232402585859,1.32363108980206,0.10874025494944,0.985172950036627,1.49459989336153,"26","CCMP1587"
311.559427747475,1.40085257714286,"1",311.559427747475,1.36999834774599,0.103752082226867,1.03878178412504,1.5350288100183,"26","CCMP1587"
329.886452909091,1.40085257714286,"1",329.886452909091,1.41321602819236,0.0993264301281707,1.08518898148752,1.57434852250865,"26","CCMP1587"
348.213478070707,1.40085257714286,"1",348.213478070707,1.45329211905351,0.094130821462042,1.13028344117183,1.61374698818025,"26","CCMP1587"
366.540503232323,1.40085257714286,"1",366.540503232323,1.49094382300018,0.0900271915496625,1.17694092089275,1.64929439582794,"26","CCMP1587"
384.867528393939,1.40085257714286,"1",384.867528393939,1.52520762138883,0.0857020141834675,1.22139055249308,1.68474608465867,"26","CCMP1587"
403.194553555556,1.40085257714286,"1",403.194553555556,1.55734062796112,0.0825398279009282,1.25893090090446,1.71597085260356,"26","CCMP1587"
421.521578717172,1.40085257714286,"1",421.521578717172,1.58607607850139,0.0802188847221526,1.29862762327814,1.74996074794646,"26","CCMP1587"
439.848603878788,1.40085257714286,"1",439.848603878788,1.61286422273536,0.0781979925281162,1.33287143702046,1.77700685756745,"26","CCMP1587"
458.175629040404,1.40085257714286,"1",458.175629040404,1.63714053906151,0.0773935484159773,1.36167986088801,1.80545546003141,"26","CCMP1587"
476.50265420202,1.40085257714286,"1",476.50265420202,1.65884792644803,0.0762268749936012,1.38883673521604,1.83343643982275,"26","CCMP1587"
494.829679363636,1.40085257714286,"1",494.829679363636,1.67895056450956,0.0756083923572732,1.41491040955158,1.85652747098147,"26","CCMP1587"
513.156704525253,1.40085257714286,"1",513.156704525253,1.6966946046456,0.0754503985980861,1.43936420315202,1.88189795450299,"26","CCMP1587"
531.483729686869,1.40085257714286,"1",531.483729686869,1.71286950420879,0.074739087113853,1.46016915563346,1.90536318078258,"26","CCMP1587"
549.810754848485,1.40085257714286,"1",549.810754848485,1.72749299430026,0.0748814784572566,1.48265509331543,1.92577601117789,"26","CCMP1587"
568.137780010101,1.40085257714286,"1",568.137780010101,1.74098248769683,0.0750521759754797,1.50107541401466,1.94386592072942,"26","CCMP1587"
586.464805171717,1.40085257714286,"1",586.464805171717,1.75274617207522,0.0758635898739423,1.51784390994893,1.9599620030718,"26","CCMP1587"
604.791830333333,1.40085257714286,"1",604.791830333333,1.763463964591,0.0764155899399023,1.5334298336808,1.97509257862193,"26","CCMP1587"
623.11885549495,1.40085257714286,"1",623.11885549495,1.77252902490074,0.0774009250924153,1.54286474324107,1.98918474378305,"26","CCMP1587"
641.445880656566,1.40085257714286,"1",641.445880656566,1.78029261057417,0.0777794132783537,1.5523546056874,2.00337200322833,"26","CCMP1587"
659.772905818182,1.40085257714286,"1",659.772905818182,1.7871823656025,0.0781020782250205,1.55949445400628,2.01548481587733,"26","CCMP1587"
678.099930979798,1.40085257714286,"1",678.099930979798,1.79307696056624,0.0794453676777823,1.56918951415327,2.02522164548779,"26","CCMP1587"
696.426956141414,1.40085257714286,"1",696.426956141414,1.79792456648194,0.0805803982224431,1.57807261701001,2.03612944033604,"26","CCMP1587"
714.75398130303,1.40085257714286,"1",714.75398130303,1.80185133348016,0.0814417329570052,1.58660606773522,2.04370342663095,"26","CCMP1587"
