"genotype","temperature","CO2","growth_rate"
"CCMP1587","26",320.2716442,1.615532681
"CCMP1587","26",417.5409764,1.602309501
"CCMP1587","26",526.0988577,1.655474456
"CCMP1587","26",577.6003947,1.656893724
"CCMP1587","26",1006.52875,1.806987831
"CCMP1587","26",1814.375491,1.468769847
"CCMP1587","30",374.1605049,1.53214992
"CCMP1587","30",437.4605918,1.892639036
"CCMP1587","30",591.0186474,1.96469592
"CCMP1587","30",1112.058314,2.146089251
"CCMP1587","30",1259.063624,1.863492283
"CCMP1587","30",2139.347074,1.715700805
"CCMP1587","35",534.3659499,1.585997137
"CCMP1587","35",632.5126854,1.670050401
"CCMP1587","35",863.4705063,1.688317299
"CCMP1587","35",889.1648209,1.731058521
"CCMP1587","35",1379.951023,1.73878288
"CCMP1587","35",2306.834873,1.728077191
"CCMP1587","26",0,0
"CCMP1587","30",0,0
"CCMP1587","35",0,0
