genotype,temperature,a,CO2opt,b,rmse,fit_ok,peak_near_edge
CCMP1587,26,38417.96099345496,571.9437873818575,0.47798922526477944,2487.152229766514,TRUE,FALSE
CCMP1587,30,32212.454193682486,615.8903652133481,1.6013066214622307,2088.606751182937,TRUE,FALSE
CCMP1587,35,47455.48304167835,1738.820576344773,1.2883147419904841,1621.855558688872,TRUE,FALSE
CCMP2929,30,45442.21924123051,1287.2994734960978,0.9467725413741084,2222.2576408639634,TRUE,FALSE
CCMP2929,35,62302.02137905519,14724.589316964782,2.6824506111690876,937.156066417693,TRUE,TRUE
