"genotype","temperature","mumax","alpha","CO2opt"
"CCMP1587","26",1.76180163809348,54.7002916944079,1033.81917314229
"CCMP1587","26",2.15763814687783,40.5159593241657,820.614049294639
"CCMP1587","26",2.15072789999468,38.5121217233725,812.073644705965
"CCMP1587","26",1.82008414413537,46.4895086823147,828.651993678929
"CCMP1587","26",1.95606125397271,73.8196038884355,770.439755118392
"CCMP1587","26",1.96384956482717,73.9058359861192,787.192828375242
"CCMP1587","26",1.85526843580783,68.6267962062282,847.909056900728
"CCMP1587","26",1.80880420253629,84.4814292037463,688.51789426433
"CCMP1587","26",1.74231793478793,98.6217108119393,893.255205208462
"CCMP1587","26",1.95209874784569,49.1864688624239,980.663014515526
"CCMP1587","26",1.97967301263573,45.3759086560955,1011.62801433381
"CCMP1587","26",2.02174222509135,47.6048322732269,945.023474628171
"CCMP1587","26",1.78288841803093,69.4982207531556,817.589939665931
"CCMP1587","26",1.84257908323138,74.9084389169914,762.110674502763
"CCMP1587","26",1.81062208162312,54.1680538065321,881.042429739268
"CCMP1587","26",2.02226498975095,48.5610456002201,749.476055193751
"CCMP1587","26",1.82450069075356,62.5266507630166,750.910469642965
"CCMP1587","26",1.76981547932824,15.6461607172996,996.109664766929
"CCMP1587","26",1.77325482909726,14.5281348296717,952.248490015275
"CCMP1587","26",1.71241381435665,18.2192929515465,693.056721474604
"CCMP1587","26",2.27582369363954,82.7213660268936,903.930036489913
"CCMP1587","26",2.247828150058,86.9736118229853,893.87935091936
"CCMP1587","26",1.94534523854658,32.1795621312894,689.180790270827
"CCMP1587","26",2.00986416872759,38.7716504182218,805.606263073354
"CCMP1587","26",1.88955177765284,48.4901542541168,746.912489377966
"CCMP1587","26",1.94485793587459,55.942309591836,891.737411865888
"CCMP1587","26",1.92440857264439,52.0932335878326,855.106231762214
"CCMP1587","26",2.00931728687117,57.6626687696397,871.52954710899
"CCMP1587","26",1.9628936285999,50.820535569727,841.345263491203
"CCMP1587","26",1.73288947448527,80.823116350231,737.037108156285
"CCMP1587","26",1.8228380720389,75.3812616118709,1004.1759230207
"CCMP1587","26",1.92784301458476,62.8769433394221,906.944431024052
"CCMP1587","26",1.76503037828806,72.0204415720556,737.447738376701
"CCMP1587","26",1.80476327734521,71.3374468399097,851.718615235111
"CCMP1587","26",1.78794630668608,62.3259805978122,800.895500828672
"CCMP1587","26",1.79731312201513,71.9954447558948,774.603384316134
"CCMP1587","26",1.8074877382516,75.48192275151,779.725540782036
"CCMP1587","26",1.77996429990576,81.4804861148325,697.372466658857
"CCMP1587","26",1.65835925602925,98.926262083777,831.719516905727
"CCMP1587","26",1.69703947661492,102.114939212946,791.764309408536
"CCMP1587","26",1.80081994279479,63.8901375179346,847.095110148184
"CCMP1587","26",1.8523497190663,44.5896922856527,1057.96247942438
"CCMP1587","26",1.84535355431468,92.8563220851689,879.163796330528
"CCMP1587","26",1.72426658725526,68.8932598973325,749.43944018559
"CCMP1587","26",1.99752701524773,56.7481325472346,1068.82528029086
"CCMP1587","26",1.87783489226475,64.9408746117815,817.216928291433
"CCMP1587","26",1.85371303365167,48.4997030597108,892.584876853779
"CCMP1587","26",1.7008600959529,117.647174775459,622.447507713558
"CCMP1587","26",1.81113640847584,67.8327538092074,872.245002178039
"CCMP1587","26",1.86127854708283,76.988073914378,846.224983700938
"CCMP1587","26",1.74079303635931,91.5566981627957,686.849687842139
"CCMP1587","26",1.72711081038704,86.6839776034661,734.8624253919
"CCMP1587","26",1.83780673898389,70.61151747982,781.259298362553
"CCMP1587","26",1.82726140104446,64.4151850038388,801.665783570793
"CCMP1587","26",1.85479204373407,53.0479609524635,819.424936916956
"CCMP1587","26",1.81539332794969,75.0376288184556,730.427164249728
"CCMP1587","26",1.79815496311654,59.4843181731307,765.774503301875
"CCMP1587","26",1.76578807655749,79.7450496015274,811.74670417397
"CCMP1587","26",1.81827834802272,64.2671728454291,750.767765342878
"CCMP1587","26",1.92503837764044,57.4315350152649,864.747951511472
"CCMP1587","26",1.91123827843135,61.1723592451166,978.351603627504
"CCMP1587","26",1.9000099832359,54.6081770554977,722.360743687782
"CCMP1587","26",1.9591639120612,41.899905036896,827.297173280822
"CCMP1587","26",2.2682120615163,43.0457933279733,699.351987161813
"CCMP1587","26",1.72114007666641,64.6861373525583,880.330857820345
"CCMP1587","26",1.80108574358988,73.4988826572386,727.150087254029
"CCMP1587","26",1.79661539049797,74.1474104531165,752.40050697786
"CCMP1587","26",1.83279903680304,75.3364548754389,810.692470386981
"CCMP1587","26",1.90041150102245,85.260254738016,860.799664909698
"CCMP1587","26",1.8691918295976,83.5464451596579,819.688538649505
"CCMP1587","26",1.67384495577515,60.2640572347469,873.781408753274
"CCMP1587","26",1.85975897647036,55.4187202787914,746.146761915673
"CCMP1587","26",1.96980119132551,62.0888237876266,1154.26568762911
"CCMP1587","26",1.81726940343157,60.4059590599654,1120.27042356667
"CCMP1587","26",1.85895345661739,57.4508574603389,1224.62154320934
"CCMP1587","26",1.75586388844182,61.6508412889687,1080.63194750696
"CCMP1587","26",1.73537365952504,62.0624827425102,1029.24689740297
"CCMP1587","26",1.81792074497431,105.740156036509,912.269642542824
"CCMP1587","26",1.75964921689219,74.1738562427534,758.140660800153
"CCMP1587","26",1.70382126141103,79.1012755508649,656.028564301165
"CCMP1587","26",1.62001428778072,105.864211931608,753.779217086253
"CCMP1587","26",1.82671558241655,79.127573711968,728.218338291362
"CCMP1587","26",1.70787974361636,81.8333288410669,860.960009080952
